Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
United States,18.816,12196.966,2.67,12.5,2.77,2.53,58556.537,15168.834,1386.823,72.032,0.014146627,1417.123,0.176778846
Austria,9.555,5262.371,5.45,10.8,7.37,5.31,52604.155,11868.066,13233.999,74.842,0.010415694,1063.525,0.092107692
Belgium,11.065,6022.253,3.25,20.5,5.64,4.93,50511.132,12948.271,1743.986,76.689,0.006280752,767.982,0.032890385
Bulgaria,8.52,2479.297,4.168,4.74,7.454,5.95,36456.891,3342.987,904.108,28.805,0.043360061,3453.262,0.393325
Czechia,9.24,4302.98,4.26,8.95,6.63,4.04,112346.96,20646.675,4084.551,64.951,0.013991061,2355.455,0.216567308
Denmark,9.264,5453.023,4.38,10.24,2.5,2.47,15783.191,2590.29,7309.683,80.118,0.003334553,332.065,0.031455769
Finland,9.613,5251.501,4.33,18.92,3.28,2.61,8934.355,1580.66,1119.22,77.435,0.005062559,196.983,0.047003846
France,12.205,6105.608,3.36,9.65,5.98,3,88607.162,14475.361,2328.867,78.371,0.008315753,881.3,0.051940385
Germany,11.016,6350.865,4.53,12.03,8,5.95,218595,12105.297,688.914,75.06,0.014923634,961.138,0.069396154
Greece,9.508,2736.445,6.306,3.77,4.21,3.64,4200,2491.2,4082.539,71.596,0.016134555,1530.678,0.149173077
Hungary,5.303,2748.683,3.28,6.59,7.02,4.23,132247.102,3045.9,667.733,61.548,0.031872936,2971.14,0.194288462
Ireland,5.275,4575.532,4.05,12.8,2.96,2.69,32018.621,5650.88,1521.554,78.248,0.005653105,734.343,0.077525
Italy,7.145,3051.572,4.13,6.26,3.18,2.66,74866.848,8341.53,1872.367,81.786,0.01717169,1090.165,0.105251923
Lithuania,5.507,2320.756,4.47,7.88,6.56,5.06,90120.64,4628.2,1886.254,69.394,0.014868591,2066.396,0.306496154
Luxembourg,5.354,6273.571,2.98,12.1,4.51,3.22,32011.997,8089.836,3405.397,71.348,0.007875601,668.859,-0.017338462
Netherlands,9.551,5752.462,3.836,11.3,3.32,2.62,22918.158,8965.263,906.985,71.717,0.004176471,553.548,0.097001923
Norway,8.625,6044.488,5.18,18.37,3.6,3.1,8142.857,2846.9,1206.456,78.94,0.002532484,156.153,0.036175
Poland,4.785,1863.608,3.44,5.68,6.62,4.37,101791.889,3240.32,528.472,54.167,0.024185636,1701.611,0.22325
Portugal,7.171,2441.07,5.615,7.44,3.39,3.34,44826.74,7614.164,1971.867,91.636,0.013305593,1189.633,0.082465385
Romania,6.272,2384.52,2.974,7.37,6.892,4.03,112978.357,2316.769,630.598,30.503,0.036535533,2201.216,0.2858
Slovakia,7.232,2521.59,3.68,5.73,5.82,4.85,106567.694,17871.67,7948.748,44.756,0.013183992,2585.799,0.344703846
Slovenia,6.828,2787.512,3.34,10.49,4.5,4.13,88757.991,19829.306,661.804,58.576,0.00866087,1398.485,0.101913462
Spain,10.714,4086.783,4.49,6.34,2.97,2.51,50710.176,12992.13,1048.113,83.424,0.009305701,820.071,0.063361538
Sweden,9.787,5358.066,4.32,10.85,2.22,1.9,31702.904,5318.717,1043.652,72.624,0.007818825,652.269,0.025857692
Switzerland,11.796,7582.184,4.45,18.39,4.53,3.59,35607.921,7751.984,1261.003,68.158,0.00535073,513.403,0.050553846
United Kingdom,9.898,4466.127,3.18,8.68,2.54,2.43,49970.983,5875.549,5061.414,74.079,0.008345998,1247.407,0.090292308
