Country,0.00,0.05,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50
United States,15,15,17,18,18,18,18,20,20,20,21
Austria,1,1,1,1,1,1,1,1,1,2,2
Belgium,5,5,5,4,4,4,4,4,4,3,3
Bulgaria,25,25,25,25,25,25,26,26,26,26,26
Czechia,20,20,20,20,20,20,19,18,18,18,18
Denmark,6,6,6,6,6,6,5,5,5,5,5
Finland,4,4,4,5,5,5,6,6,6,7,9
France,10,10,9,9,9,9,8,8,7,6,6
Germany,7,7,7,7,7,7,7,7,8,9,8
Greece,9,9,10,11,13,14,14,14,16,17,17
Hungary,23,23,23,23,23,23,23,24,24,24,24
Ireland,11,11,11,10,10,10,10,10,10,10,10
Italy,19,19,19,19,19,19,20,19,19,19,19
Lithuania,18,18,18,17,17,17,16,16,15,15,16
Luxembourg,8,8,8,8,8,8,9,9,9,8,7
Netherlands,13,12,12,12,11,12,12,12,12,12,12
Norway,2,2,2,2,2,3,3,3,3,4,4
Poland,22,22,22,22,22,22,22,22,22,22,22
Portugal,12,13,14,14,14,13,13,13,13,14,14
Romania,26,26,26,26,26,26,25,25,25,25,25
Slovakia,24,24,24,24,24,24,24,23,23,23,23
Slovenia,21,21,21,21,21,21,21,21,21,21,20
Spain,17,17,16,16,16,16,17,17,17,16,15
Sweden,14,14,13,13,12,11,11,11,11,11,11
Switzerland,3,3,3,3,3,2,2,2,2,1,1
United Kingdom,16,16,15,15,15,15,15,15,14,13,13
