Country,0.00,0.05,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50
United States,15,15,15,15,15,15,16,16,16,16,16
Austria,1,1,1,1,1,1,1,1,1,2,2
Belgium,5,4,4,4,4,3,3,3,3,3,3
Bulgaria,25,25,25,25,25,26,26,26,26,26,26
Czechia,20,20,20,20,20,19,19,19,19,19,19
Denmark,6,6,6,6,6,6,6,6,6,6,6
Finland,4,5,5,5,5,5,5,5,5,5,5
France,10,10,10,10,10,10,10,10,9,9,9
Germany,7,7,7,7,7,7,8,9,10,11,13
Greece,9,9,9,9,9,9,9,8,8,8,8
Hungary,23,23,23,23,23,23,23,23,23,23,23
Ireland,11,12,12,12,12,12,12,12,12,12,11
Italy,19,19,19,19,19,20,20,20,20,20,20
Lithuania,18,18,17,16,16,16,15,15,15,15,15
Luxembourg,8,8,8,8,8,8,7,7,7,7,7
Netherlands,13,13,13,13,13,13,13,13,13,13,12
Norway,2,2,2,2,2,2,2,2,2,1,1
Poland,22,22,21,21,21,21,21,21,21,21,21
Portugal,12,11,11,11,11,11,11,11,11,10,10
Romania,26,26,26,26,26,25,25,25,25,25,25
Slovakia,24,24,24,24,24,24,24,24,24,24,24
Slovenia,21,21,22,22,22,22,22,22,22,22,22
Spain,17,17,18,18,18,18,18,18,18,18,18
Sweden,14,14,14,14,14,14,14,14,14,14,14
Switzerland,3,3,3,3,3,4,4,4,4,4,4
United Kingdom,16,16,16,17,17,17,17,17,17,17,17
